"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"1184","1185","1米路锥将军帽","路锥","安全设施/交通标识","高度: 1米；别名/配件: 将军帽","个","待确认","“将军帽”是路锥款式还是配件需确认"
"1185","1186","伸缩管","伸缩管","工程材料/软管","类型: 伸缩管","个","待确认","规格/材质/长度缺失"
"1186","1187","袋子","袋子","包装材料/袋类","类型: 袋子","个","待确认","裸名不能建档，规格/材质缺失"
"1187","1188","3*2.5电缆线","电缆线","电气材料/电线电缆","规格: 3*2.5","米","可合并/待确认","与第826行同类，品牌/型号缺失"
"1192","1193","创可贴","创可贴","劳保耗材/急救用品","类型: 创可贴","张","可合并/待确认","与第1141行单位盒/张需换算"
"1196","1197","定做玻璃窗","玻璃窗","定制件/门窗制品","定制: 是；类型: 玻璃窗","个","可合并/待确认","与第1125行同类，尺寸缺失"
"1197","1198","大盒石笔","石笔","办公/标识耗材","包装: 大盒","合","待确认","单位疑似盒，每盒数量缺失"
"1198","1199","64mm*1960nl钢丝绳","钢丝绳","吊装索具/钢丝绳","直径: 64mm；规格: 1960nl","米","待确认","`nl`含义需确认，强度/结构缺失"
"1200","1201","3000目阻燃安全网","阻燃安全网","安全设施/防护网","规格: 3000目；特征: 阻燃","米","可合并/待确认","与第946行同类，单位米/个需统一"
"1203","1204","万能遥控","万能遥控器","行政后勤/设施配件","类型: 万能遥控","个","待确认","适用设备缺失"
"1204","1205","厚不锈钢烟筒","不锈钢烟筒","工程材料/通风排烟","材质: 不锈钢；特征: 厚","个","待确认","直径/长度/厚度缺失"
"1205","1206","5mm橡胶","橡胶板/橡胶","原材料/橡胶材料","厚度: 5mm；材质: 橡胶","kg","待确认","是橡胶板还是胶料？尺寸缺失"
"1206","1207","五孔插座","五孔插座","电气材料/插头插座","类型: 五孔插座","个","可合并/待确认","与第757行同类，品牌/电流缺失"
"1207","1208","线槽","线槽","电气材料/电缆附件","类型: 线槽","米","待确认","规格/材质缺失"
"1209","1210","镀锌方钢","镀锌方钢","原材料/型钢","表面: 镀锌","米","待确认","裸名，规格/壁厚缺失"
"1210","1211","30W快充USV插座","USB快充插座","电气材料/插头插座","功率: 30W；功能: 快充；原名: USV","个","待确认","`USV`是否为USB误写，电压/接口缺失"
"1211","1212","透明胶布100米","透明胶带","包装材料/胶带","颜色: 透明；长度: 100米","个","待确认","单位个/卷需统一，宽度缺失"
"1212","1213","办公室多功能椅","办公椅","行政后勤/办公家具","用途: 办公室；类型: 多功能椅","个","可合并/待确认","与第1086行同类，单位建议把"
"1214","1215","89*16KG法兰片","法兰片","工程材料/管件","规格: 89；压力: 16KG；类型: 法兰片","个","待确认","压力单位/材质/孔距缺失"
"1221","1222","18厘绳子","绳子","吊装索具/绳索","直径: 18mm","个","待确认","材质/单位是否应为米需确认"
"1222","1223","电焊眼镜","电焊眼镜","劳保耗材/眼面防护","用途: 电焊防护","个","可合并/待确认","与第594行同物料，单位副/个需统一"
"1227","1228","定做159加厚钢抱箍","钢抱箍","定制件/管路接头","定制: 是；规格: 159；材质: 钢；特征: 加厚","个","可合并/待确认","与第1216行是否同物料需确认"
"1228","1229","定做89加厚钢抱箍","钢抱箍","定制件/管路接头","定制: 是；规格: 89；材质: 钢；特征: 加厚","个","可合并/待确认","与第1217行是否同物料需确认"
"1229","1230","回力雨鞋高班","高筒雨鞋","劳保耗材/足部防护","品牌: 回力；原名: 高班；类型: 雨鞋","双","待确认","“高班”是否为高帮/高筒错字，尺码缺失"
"1234","1235","1米路锥将军帽","路锥","安全设施/交通标识","高度: 1米；别名/配件: 将军帽","个","可合并/待确认","与第1184行同物料，含义仍需确认"
"1235","1236","伸缩管","伸缩管","工程材料/软管","类型: 伸缩管","个","可合并/待确认","与第1185行同物料，规格缺失"
"1241","1242","3*1.5电缆线","电缆线","电气材料/电线电缆","规格: 3*1.5","米","可合并/待确认","与第785行同类，品牌/型号缺失"
"1242","1243","回力雨鞋高班","高筒雨鞋","劳保耗材/足部防护","品牌: 回力；原名: 高班","双","可合并/待确认","与第1229行同物料，尺码缺失"
"1247","1248","89加厚抱箍","抱箍","工程材料/管道紧固","规格: 89；特征: 加厚","个","可合并/待确认","与89钢抱箍是否同物料需确认"
"1249","1250","1.22*2.44*3模板","模板","建筑材料/模板木方","尺寸: 1.22*2.44；厚度: 3","张","可合并/待确认","与黑模板/合板是否同类需确认"
"1250","1251","黄沙","黄砂","建筑材料/水泥砂石","类型: 黄砂","吨方","待确认","单位“吨方”需清洗为吨或方"
"1251","1252","20寸钢筋","钢筋","原材料/钢筋","规格: 20寸","根","待确认","是否为20mm钢筋？长度缺失"
"1255","1256","二氧化碳","二氧化碳","焊接耗材/工业气体","类型: 二氧化碳","瓶","待确认","气体充装还是钢瓶采购需确认"
"1258","1259","80mm塑料框盖","塑料框盖","行政后勤/通用用品","规格: 80mm；材质: 塑料","套","待确认","用途/适配容器缺失"
"1264","1265","10寸水平管","水平管","工具器具/测量工具","规格: 10寸","米","待确认","是透明水平管还是管材？材质缺失"
"1265","1266","公牛8孔排杆","公牛8孔排插","电气材料/插头插座","品牌: 公牛；孔位: 8孔；原名: 排杆","米","待确认","是否为排插？单位米不合理需确认"
"1268","1269","好劳保鞋","劳保鞋","劳保耗材/足部防护","品质: 好；类型: 劳保鞋","双","待确认","规格/防护标准/尺码缺失"
"1270","1271","10*1.5米厘镀锌铁链","镀锌铁链","吊装索具/链条","规格: 10；长度: 1.5米；表面: 镀锌","条","待确认","“米厘”含义需确认，载荷缺失"
"1272","1273","15*3厘软水管厚","软水管","工程材料/软管","规格: 15*3厘；特征: 厚","米","待确认","材质/压力等级缺失"
"1273","1274","4kg灭火器","灭火器","消防器材/灭火器","容量: 4kg","个","可合并/待确认","与第1172行同类，单位/类型需统一"
"1276","1277","混泥土脱剂","混凝土脱模剂","化工耗材/脱模剂","用途: 混凝土；原名: 混泥土脱剂","桶","待确认","是否为混凝土脱模剂错字？品牌/容量缺失"
"1278","1279","二保电焊维修","二保焊机维修服务","服务费用/维修服务","服务: 二保电焊维修","台","待确认","应作为维修服务，更换件缺失"
"1286","1287","网线","网线","电气材料/弱电材料","类型: 网线","米","待确认","类别/Cat等级/品牌缺失"
"1288","1289","81cm塑料盖","塑料盖","行政后勤/通用用品","规格: 81cm；材质: 塑料","个","待确认","适配容器/用途缺失"
"1289","1290","加工镀锌管","镀锌管加工件","定制件/钢管加工件","加工: 是；表面: 镀锌","根","待确认","规格/长度/加工要求缺失"
"1290","1291","6分弯头","弯头","工程材料/管件","规格: 6分；类型: 弯头","个","待确认","材质/连接形式缺失"
"1291","1292","6分直通","直通","工程材料/管件","规格: 6分；类型: 直通","个","待确认","材质/连接形式缺失"
"1292","1293","6分三通","三通","工程材料/管件","规格: 6分；类型: 三通","个","待确认","材质/连接形式缺失"
"1293","1294","钢筋接盖子","钢筋接头盖","工程材料/钢筋连接件","用途: 钢筋接头；类型: 盖子","个","待确认","名称不清，适配规格缺失"
"1297","1298","4-8位电位箱","等电位箱","电气材料/配电箱","规格: 4-8位；原名: 电位箱","个","待确认","是否为等电位箱？尺寸缺失"
"1299","1300","25弯头","PVC弯头","电气材料/电缆附件","规格: 25；类型: 弯头","个","可建档/待确认","上下文推断为PVC线管配件，材质需确认"
"1300","1301","25管卡","管卡","电气材料/电缆附件","规格: 25；类型: 管卡","个","可建档/待确认","上下文推断为PVC线管配件，材质需确认"
"1301","1302","25直通","PVC直通","电气材料/电缆附件","规格: 25；类型: 直通","个","可建档/待确认","上下文推断为PVC线管配件，材质需确认"
"1303","1304","世达多功能拨线钳","剥线钳","工具器具/电工工具","品牌: 世达；功能: 多功能；原名: 拨线钳","个","待确认","是否为剥线钳错字？规格缺失"
"1306","1307","一次性雨衣加厚","一次性雨衣","劳保耗材/雨具","类型: 一次性；特征: 加厚","件","可合并/待确认","与第824行同类，单位套/件需统一"
"1313","1314","165*59烧焊弯头","焊接弯头","工程材料/管件","规格: 165*59；连接: 烧焊/焊接","个","待确认","材质/角度/壁厚缺失"
"1314","1315","加工无缝管","无缝管加工件","定制件/钢管加工件","加工: 是；类型: 无缝管","根","待确认","规格/长度/加工要求缺失"
"1316","1317","75*75加厚方管","方管","原材料/型钢","规格: 75*75；特征: 加厚","根","待确认","壁厚/长度/材质缺失"
"1317","1318","上海电力锁钥匙","电力锁钥匙","五金备件/锁具","品牌/用途: 上海电力锁；类型: 钥匙","个","待确认","锁具型号/钥匙编号缺失"
"1318","1319","20万太阳能灯","太阳能灯","电气材料/照明","规格/亮度: 20万；供电: 太阳能","套","待确认","20万含义、功率/电池缺失"
"1325","1326","施耐德4p250漏保","漏电断路器","电气材料/低压电器","品牌: 施耐德；极数: 4P；电流: 250A","个","可合并/待确认","与第1087/1353行同候选，型号缺失"
"1326","1327","防水盒","防水盒","电气材料/配电附件","特征: 防水","个","待确认","尺寸/IP等级/用途缺失"
"1327","1328","25铁钩","铁钩","五金备件/通用五金","规格: 25；材质: 铁","个","待确认","形状/载荷/用途缺失"
"1328","1329","气管接头","气管接头","气动/高压管路","适用: 气管；类型: 接头","套","待确认","规格/接口形式缺失"
"1330","1331","二氧化碳","二氧化碳","焊接耗材/工业气体","类型: 二氧化碳","瓶","可合并/待确认","与第1255行同物料，充装/钢瓶需确认"
"1331","1332","氧气","氧气","焊接耗材/工业气体","类型: 氧气","瓶","可合并/待确认","充装/钢瓶需确认"
"1336","1337","加工无缝管","无缝管加工件","定制件/钢管加工件","加工: 是；类型: 无缝管","根","可合并/待确认","与第1314行同类，规格缺失"
"1341","1342","埃美柯50寸铜单向阀","铜单向阀","工程材料/阀门","品牌: 埃美柯；规格: 50；材质: 铜；类型: 单向阀","个","待确认","“50寸”是否为50口径误写，连接形式缺失"
"1344","1345","10钢丝绳","钢丝绳","吊装索具/钢丝绳","规格/直径: 10","米","待确认","单位mm？结构/强度缺失"
"1347","1348","10厘卡扣","卡扣","吊装索具/连接件","规格: 10厘","个","可合并/待确认","与第1271行卡环是否同类需确认"
"1349","1350","380v-25v华峰插头","工业插头","电气材料/插头插座","品牌: 华峰；电压: 380V；规格: 25","个","待确认","`25v`是否为25A误写，极数/IP缺失"
"1350","1351","380v-25 插座","工业插座","电气材料/插头插座","电压: 380V；规格: 25","个","待确认","25是否为25A，品牌/极数缺失"
"1352","1353","施耐德4p250A漏电","漏电断路器","电气材料/低压电器","品牌: 施耐德；极数: 4P；电流: 250A","个","可合并/待确认","与第1325行同候选，型号缺失"
"1353","1354","进口高帮劳保鞋","高帮劳保鞋","劳保耗材/足部防护","特征: 进口、高帮","双","可合并/待确认","与第738行同类，尺码缺失"
"1354","1355","45升不锈钢高压泵头","高压泵头","设备备件/泵类备件","容量/流量: 45升；材质: 不锈钢","个","待确认","适用泵型号/压力缺失"
"1357","1358","12寸铁丝","铁丝","五金备件/金属丝材","原始规格: 12寸","kg","待确认","是否为12号铁丝误写？"
"1367","1368","10寸B槽钢","槽钢","原材料/型钢","规格: 10寸B","米","待确认","是否10#B型槽钢？材质缺失"
"1368","1369","AB62-63/3漏保","漏电断路器","电气材料/低压电器","型号: AB62-63/3；类型: 漏保","个","待确认","品牌/极数/电流需确认"
"1374","1375","1.5*6花纹钢板","花纹钢板","原材料/钢板","规格: 1.5*6；类型: 花纹钢板","平方","待确认","1.5*6含义/厚度/材质缺失"
"1375","1376","14寸铁丝","铁丝","五金备件/金属丝材","原始规格: 14寸","kg","待确认","是否为14号铁丝误写？"
"1379","1380","加工钢管带牙","带牙钢管加工件","定制件/钢管加工件","加工: 是；工序: 带牙","根","待确认","规格/长度/牙型缺失"
"1381","1382","1寸38不锈钢骑马卡","不锈钢骑马卡","五金备件/管道紧固","规格: 1寸/38；材质: 不锈钢","个","待确认","1寸与38关系需确认"
"1389","1390","22弹垫平垫","弹垫平垫套装","五金备件/紧固件","规格: 22；组成: 弹垫+平垫","个","待确认","建议拆成M22弹垫和M22平垫"
"1390","1391","加工3*300铁管","铁管加工件","定制件/钢管加工件","加工: 是；规格: 3*300","根","待确认","规格含义/材质/图纸缺失"
"1392","1393","80厚钢头","厚钢头","工程材料/管件","规格: 80；材质: 钢；特征: 厚","个","待确认","“钢头”具体类型/连接方式缺失"
"1393","1394","80厚贝壳扣","贝壳扣","工程材料/管道紧固","规格: 80；特征: 厚","套","待确认","贝壳扣结构/材质/适配管件缺失"
"1397","1398","维修推进泵","推进泵维修服务","服务费用/维修服务","服务: 维修推进泵","台","待确认","应作为维修服务，更换件缺失"
"1398","1399","1寸高压接头","高压接头","液压/高压管路","规格: 1寸","个","待确认","螺纹/压力等级/形式缺失"
"1399","1400","20厘绕管","绕管","工程材料/软管","规格: 20厘","米","待确认","材质/用途/压力缺失"
"1400","1401","35厘绕管","绕管","工程材料/软管","规格: 35厘","米","待确认","材质/用途/压力缺失"
"1401","1402","埃美柯165加长蝶阀","蝶阀","工程材料/阀门","品牌: 埃美柯；规格: 165；特征: 加长","个","待确认","规格是否DN165？压力/连接形式缺失"
"1406","1407","16平垫弹垫","平垫弹垫套装","五金备件/紧固件","规格: 16；组成: 平垫+弹垫","个","待确认","建议拆成M16平垫和M16弹垫"
"1416","1417","加工橡胶轮带螺丝","橡胶轮组件","定制件/橡胶加工件","加工: 是；组成: 橡胶轮、螺丝","套","待确认","轮径/宽度/轴孔/螺丝规格缺失"
"1418","1419","230*50踏木板","木踏板","建筑材料/木板材","规格: 230*50；用途: 踏板","米","待确认","厚度/材质/是否脚手板缺失"
"1422","1423","16圆钢","圆钢","钢材/圆钢","直径: 16mm","根","待确认","材质/长度/计量单位需统一"
"1423","1424","摩力克D321润滑剂","润滑剂","化工耗材/润滑剂","品牌: 摩力克；型号: D321","个","待确认","包装单位/容量/具体品类需确认"
"1435","1436","4米*36木踏板","木踏板","建筑材料/木板材","长度: 4米；宽度/厚度: 36待确认；用途: 踏板","个","待确认","36含义、材质、计量单位需确认"
"1443","1444","人民电器不锈钢夹子","不锈钢夹子","工具/夹具","品牌: 人民电器；材质: 不锈钢","个","待确认","夹子类型/规格用途不清"
"1445","1446","90CM将军帽","将军帽","劳保耗材/头部防护","尺寸: 90cm","个","待确认","品类含义不清，需确认是否防护帽/装饰件"
"1446","1447","伸缩管","伸缩管","管材/软管","型式: 伸缩","个","待确认","材质/直径/长度/用途缺失"
"1449","1450","贴胶手套","贴胶手套","劳保耗材/手套","类型: 贴胶","个","待确认","单位应为双/副，尺码缺失"
"1454","1455","大子扫把","大扫把","行政后勤/清洁用品","原名: 大子扫把","个","待确认","疑似错字，是否“大扫把”需确认"
"1461","1462","实心劳动轮胎","实心轮胎","备品备件/车辆轮胎","类型: 实心；原名: 实心劳动轮胎","个","待确认","“劳动”是否品牌/车型需确认，尺寸缺失"
"1473","1474","300A铜鼻子","铜鼻子","电气材料/电缆附件","规格: 300A；材质: 铜","个","待确认","A是电流还是型号，适配线径/孔径缺失"
"1485","1486","加工1米*2米PL透明板","透明塑料板","定制件/塑料加工件","尺寸: 1米*2米；材质原文: PL；特征: 透明；加工: 是","块","待确认","PL材质不明确，需确认PC/亚克力/PVC等"
"1497","1498","防水套合","防水套盒","电气材料/电气盒","特征: 防水；原名: 防水套合","个","待确认","疑似“防水套盒”，规格/型号缺失"
"1503","1504","台钻钥匙","台钻夹头钥匙","工具备件/机床附件","适用设备: 台钻","个","待确认","夹头规格/型号缺失"
"1505","1506","63垫片","垫片","管件/密封垫片","规格: 63","个","待确认","材质/用途/压力等级缺失"
"1507","1508","红兰色喷漆","红蓝色喷漆","化工耗材/涂料","颜色: 红蓝色待确认；原名: 红兰色","支","待确认","疑似错字，具体颜色/容量缺失"
"1508","1509","东城锂电池","电动工具锂电池","工具备件/电动工具配件","品牌: 东成/东城待确认；类型: 锂电池","个","待确认","品牌字样、型号、电压、容量缺失"
"1512","1513","四氟垫块","四氟垫块","密封材料/四氟制品","材质: 四氟/PTFE；形态: 垫块","个","待确认","尺寸/厚度/硬度缺失"
"1517","1518","草皮","草皮","行政后勤/绿化用品","品类: 草皮","米","待确认","人造/天然、宽度、计量单位需确认"
"1527","1528","100强力磁铁","强力磁铁","五金耗材/磁性材料","规格: 100；类型: 强力磁铁","个","待确认","尺寸/形状/磁力等级缺失"
"1535","1536","压线铜管","铜连接管","电气材料/电缆附件","材质: 铜；用途: 压线","米","待确认","单位异常，应按个/支？规格缺失"
"1538","1539","4米*25跳板","跳板","建筑材料/脚手板","长度: 4米；规格: 25","米","待确认","材质/宽厚/单位需确认"
"1552","1553","1.4*24撬棍","撬棍","工具/手动工具","规格原文: 1.4*24","个","待确认","尺寸含义不清，长度/直径需确认"
"1557","1558","东城锂电池","电动工具锂电池","工具备件/电动工具配件","品牌: 东成/东城待确认；类型: 锂电池","个","待确认","与1509同类，型号/电压/容量缺失"
"1558","1559","不锈钢骑马卡","不锈钢骑马卡","管道紧固/骑马卡","材质: 不锈钢","个","待确认","规格/适配管径缺失"
"1560","1561","东城锂电池","电动工具锂电池","工具备件/电动工具配件","品牌: 东成/东城待确认；类型: 锂电池","个","待确认","与1509同类，型号/电压/容量缺失"
"1567","1568","20平弹垫片","平垫弹垫套装","紧固件/垫圈","规格: M20；组成: 平垫+弹垫","个","待确认","建议拆成平垫和弹垫两个物料"
"1570","1571","16平弹垫片","平垫弹垫套装","紧固件/垫圈","规格: M16；组成: 平垫+弹垫","个","待确认","建议拆成平垫和弹垫两个物料"
"1571","1572","黄沙","黄沙","建筑材料/水泥砂石","品类: 黄沙","吨方","待确认","单位吨方需拆分，粒径/含泥量缺失"
"1576","1577","头灯座","头灯座","电气材料/照明附件","类型: 灯座；用途: 头灯","个","待确认","头灯类型/型号/电压缺失"
"1579","1580","冷压端子号","冷压端子","电气材料/电缆附件","类型: 冷压端子；原名: 冷压端子号","个","待确认","“号”含义不清，规格/颜色缺失"
"1580","1581","螺丝取出口","螺丝取出器","工具/拆卸工具","原名: 螺丝取出口","套","待确认","疑似错字，是否螺丝取出器需确认"
"1581","1582","优质橡胶","橡胶板/橡胶料","橡胶材料/橡胶原料","材质: 橡胶；等级: 优质","kg","待确认","形态/硬度/材质类型缺失"
"1589","1590","不锈钢抄网","不锈钢抄网","工具/清理工具","材质: 不锈钢","个","待确认","网径/杆长/用途缺失"
"1590","1591","80加厚铜头","加厚铜接头","液压/高压管路","规格: 80；材质: 铜；特征: 加厚","个","待确认","类型/螺纹/适配管缺失"
"1591","1592","80加厚铜头铝扣","铜头铝套组件","液压/高压管路","规格: 80；组成: 铜头、铝扣；特征: 加厚","个","待确认","连接形式/压力等级缺失"
"1606","1607","50加厚铜头","加厚铜接头","液压/高压管路","规格: 50；材质: 铜；特征: 加厚","个","待确认","类型/螺纹/适配管缺失"
"1607","1608","50铜头铝套","铜头铝套组件","液压/高压管路","规格: 50；组成: 铜头、铝套","个","待确认","连接形式/压力等级缺失"
"1615","1616","3*4+2电缆线","电缆线","电气材料/电线电缆","规格: 3*4+2；芯数结构: 3芯4mm2+2芯待确认","米","待确认","“+2”截面积不完整，材质/护套缺失"
"1618","1619","不锈钢三通内外丝","不锈钢三通","管件/不锈钢管件","材质: 不锈钢；类型: 三通；螺纹: 内外丝","个","待确认","规格/螺纹标准缺失"
"1622","1623","M80*70螺丝","螺丝组件","紧固件/螺丝","规格: M80*70","套","待确认","M80异常偏大，需确认是否M8*70"
"1635","1636","气体","气体","气体/工业气体","原名: 气体","个","待确认","气体种类、纯度、瓶装规格完全缺失"
"1642","1643","水泥","水泥","建筑材料/水泥砂石","品类: 水泥","个","待确认","单位应为包/吨，强度等级缺失"
"1644","1645","12TU型国标卸扣10.7吨","U型卸扣","吊装索具/卸扣","标称: 12T；实际载荷: 10.7T；型式: U型；执行标准: 国标","个","待确认","12T和10.7吨口径冲突，需确认额定载荷"
"1646","1647","大电动扳手东城两电一充","电动扳手套装","工具/电动工具","品牌: 东成/东城待确认；配置: 两电一充；规格: 大","套","待确认","品牌字样/型号/电池规格缺失"
"1651","1652","50铜头铝合金夹","铜头铝合金夹","液压/高压管路","规格: 50；组成: 铜头、铝合金夹","个","待确认","与铜头铝套关系需确认"
"1653","1654","80铜头铝合金夹","铜头铝合金夹","液压/高压管路","规格: 80；组成: 铜头、铝合金夹","个","待确认","与铜头铝套关系需确认"
"1658","1659","3*2.5+1起凡电缆线","电缆线","电气材料/电线电缆","品牌原文: 起凡；规格: 3*2.5+1","米","待确认","品牌疑似起帆；+1截面积不完整"
"1659","1660","3*4+2起凡电缆线","电缆线","电气材料/电线电缆","品牌原文: 起凡；规格: 3*4+2","米","待确认","品牌疑似起帆；+2截面积不完整"
"1661","1662","50铝合金枪头","铝合金枪头","工具备件/喷枪配件","规格: 50；材质: 铝合金","个","待确认","适配设备/接口缺失"
"1674","1675","4*4*0.5国标角铁","角钢","钢材/型材","规格: 4*4*0.5；执行标准: 国标","个","待确认","单位应为米/根，规格单位需确认"
"1687","1688","K8直涨芯组件","直涨芯组件","备品备件/设备专用件","型号: K8；类型: 直涨芯组件","个","待确认","“涨/胀”字、适配设备、图号缺失"
"1689","1690","不锈钢卡套三通","不锈钢卡套三通","气动液压/卡套接头","材质: 不锈钢；连接: 卡套；类型: 三通","个","待确认","管径/卡套规格缺失"
"1690","1691","K8弯涨芯组件","弯涨芯组件","备品备件/设备专用件","型号: K8；类型: 弯涨芯组件","个","待确认","“涨/胀”字、适配设备、图号缺失"
"1695","1696","施耐德继电器","继电器","电气材料/低压电器","品牌: 施耐德","个","待确认","型号/线圈电压/触点形式缺失"
"1711","1712","乙炔","乙炔气","气体/工业气体","气体: 乙炔","个","待确认","是气体充装还是钢瓶采购？单位应为瓶/立方等"
"1735","1736","48平弹垫快","平垫弹垫套装","紧固件/垫圈","规格: M48；组成: 平垫+弹垫；原名: 垫快","支","待确认","疑似错字“垫块/垫片”，建议拆分平垫和弹垫"
"1736","1737","铁撬柄","铁撬柄","工具备件/手动工具配件","材质: 铁；类型: 撬柄","支","待确认","适配工具/长度缺失"
"1739","1740","电源线","电源线","电气材料/电线电缆","类型: 电源线","支","待确认","长度/芯数/插头形式/截面积缺失"
"1764","1765","1000kg闭门器","闭门器","五金建材/门窗五金","承重: 1000kg","个","待确认","1000kg异常偏大，型号/门重范围需确认"
"1767","1768","85吨卸扣","卸扣","吊装索具/卸扣","额定载荷: 85T","个","待确认","大吨位需确认型式、证书、标准"
"1774","1775","1寸比塔铜头","比塔铜接头","液压/高压管路","规格: 1寸；材质: 铜；类型: 比塔铜头","个","待确认","“比塔”含义/品牌或接头类型需确认"
"1775","1776","1寸铝合金扣","铝合金扣","液压/高压管路","规格: 1寸；材质: 铝合金","个","待确认","适配铜头/连接形式缺失"
"1778","1779","高压滤芯","高压滤芯","备品备件/过滤件","类型: 高压滤芯","个","待确认","型号/过滤精度/适配设备缺失"
"1780","1781","50比塔铜头","比塔铜接头","液压/高压管路","规格: 50；材质: 铜；类型: 比塔铜头","个","待确认","“比塔”含义/连接形式缺失"
"1787","1788","150*150混泥土模","混凝土试模","工具/检测模具","尺寸: 150*150；原名: 混泥土模","个","待确认","疑似混凝土试模，是否150立方试模需确认"
"1804","1805","液压扳手接头","液压扳手接头","液压/高压管路","用途: 液压扳手；类型: 接头","个","待确认","规格/接口形式缺失"
"1817","1818","M48螺母垫片","螺母垫片套装","紧固件/螺母垫片","规格: M48；组成: 螺母、垫片","个","待确认","建议拆成螺母和垫片，单位/套装范围需确认"
"1818","1819","M48弹平垫","平垫弹垫套装","紧固件/垫圈","规格: M48；组成: 弹垫、平垫","个","待确认","建议拆成平垫和弹垫两个物料"
"1820","1821","进口劳保鞋","劳保鞋","劳保耗材/足部防护","进口: 是","双","待确认","品牌/尺码/防护等级缺失"
"1822","1823","8厘绳子","绳子","吊装索具/绳索","规格/直径: 8厘","米","待确认","材质/承载/用途缺失"
"1830","1831","黑色玻璃纸","玻璃纸","包装/薄膜材料","颜色: 黑色","米","待确认","材质/宽度/厚度缺失"
"1837","1838","1.0*0.5铁皮","铁皮","钢材/薄板","规格: 1.0*0.5","米","待确认","规格含义/厚度/宽度/材质缺失"
"1839","1840","48*0.5无缝钢管","无缝钢管","钢材/钢管","外径: 48mm；壁厚: 0.5mm","米","待确认","壁厚0.5异常，材质/标准需确认"
"1840","1841","100*48斤绿色消防管","绿色消防管","消防材料/消防管","规格原文: 100*48斤；颜色: 绿色","米","待确认","48斤含义、材质、压力等级缺失"
"1843","1844","2.5m高压管加过滤","高压管过滤组件","液压/高压管路","长度: 2.5m；组成: 高压管、过滤","套","待确认","管径/过滤器型号/压力等级缺失"
"1852","1853","200ML杯子","量杯/杯子","行政后勤/生活用品","容量: 200ml","个","待确认","是普通杯子还是计量杯需确认"
"1853","1854","针筒","注射器/针筒","工具耗材/计量工具","类型: 针筒","个","待确认","容量/是否带针头缺失"
"1860","1861","D120磁铁","磁铁","五金耗材/磁性材料","型号/规格: D120","个","待确认","形状/磁力等级/尺寸缺失"
"1861","1862","好橡胶","橡胶材料","橡胶材料/橡胶原料","原名: 好橡胶","公斤","待确认","形态/硬度/材质类型缺失"
"1862","1863","65荆轮扳手","棘轮扳手","工具/手动工具","规格: 65；原名: 荆轮扳手","个","待确认","疑似“棘轮扳手”，规格/类型需确认"
"1870","1871","32件得力套荆轮套筒","棘轮套筒套装","工具/套筒","品牌: 得力；件数: 32件；原名: 荆轮套筒","套","待确认","疑似“棘轮套筒”，规格范围缺失"
"1886","1887","东城488冲击扳手","冲击扳手","工具/电动工具","品牌: 东成/东城待确认；型号: 488","个","待确认","品牌字样、电池/电压配置缺失"
"1891","1892","120cm强磁吸","强磁吸","五金耗材/磁性材料","长度: 120cm；类型: 强磁吸","个","待确认","形态/吸力/用途缺失"
"1897","1898","定做M270加长螺母","加长螺母","定制件/紧固件","定制: 是；规格: M270；特征: 加长","个","待确认","M270异常超大，需确认是否M27.0或其他图纸规格"
"1903","1904","公元75*50三通","PVC/PPR三通","工程材料/塑料管件","品牌: 公元；规格: 75*50；类型: 三通","个","待确认","材质PVC/PPR需确认"
"1904","1905","公元50三通","PVC/PPR三通","工程材料/塑料管件","品牌: 公元；规格: 50；类型: 三通","个","待确认","材质PVC/PPR需确认"
"1905","1906","公元50弯头","PVC/PPR弯头","工程材料/塑料管件","品牌: 公元；规格: 50；类型: 弯头","个","待确认","材质PVC/PPR、角度需确认"
"1906","1907","胶水","胶水","化工耗材/胶粘剂","原名: 胶水","个","待确认","胶种/品牌/容量/用途缺失"
"1907","1908","4GK灭火器","灭火器","消防材料/灭火器","原规格: 4GK","个","待确认","疑似4KG，灭火剂类型/规格需确认"
"1908","1909","箱子","箱子","包装材料/箱类","原名: 箱子","个","待确认","材质/尺寸/用途缺失"
"1921","1922","570*4格箱子","分格箱","包装材料/箱类","规格: 570；格数: 4格","个","待确认","尺寸单位/材质/用途缺失"
"1932","1933","DN80贝塔扣","贝塔扣","液压/高压管路","规格: DN80；原名: 贝塔扣","个","待确认","与比塔/铝扣关系需确认"
"1934","1935","DN50贝塔扣","贝塔扣","液压/高压管路","规格: DN50；原名: 贝塔扣","个","待确认","与比塔/铝扣关系需确认"
"1939","1940","100A铜鼻子","铜鼻子","电气材料/电缆附件","规格原文: 100A；材质: 铜","个","待确认","A是电流/型号还是线径规格需确认"
"1940","1941","150A铜鼻子","铜鼻子","电气材料/电缆附件","规格原文: 150A；材质: 铜","个","待确认","A是电流/型号还是线径规格需确认"
"1957","1958","加工后备套夹子","后备套夹子","定制件/金属加工件","加工: 是；部件: 后备套夹子","个","待确认","名称含义/图纸/材质缺失"
"1965","1966","51*4高压油管","高压油管","液压/高压管路","规格: 51*4",".米","待确认","单位`.米`需清洗为米，规格含义需确认"
"1977","1978","M20平弹垫","平垫弹垫套装","紧固件/垫圈","规格: M20；组成: 平垫+弹垫","个","待确认","建议拆成平垫和弹垫两个物料"
