编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01385	刀阀	公称直径: DN150	阀门/刀阀	个	DN150刀阀	状态：可合并；与1692同类，材质/压力等级缺失
REVIEW-MAT-01386	膨胀螺丝	规格: M14*70	紧固件/膨胀件	个	14*70膨胀螺丝	材质/类型缺失
REVIEW-MAT-01387	套筒	规格: 17	工具/套筒	个	17套筒	方榫规格/长度缺失
REVIEW-MAT-01388	电缆线	品牌: 起帆；规格: 3*6+2*4	电气材料/电线电缆	米	3*6+2*4起帆电缆	导体材质/护套/电压等级缺失
REVIEW-MAT-01389	量杯	容量: 2000ml	工具耗材/计量工具	个	2000毫升量杯	材质/刻度精度缺失
REVIEW-MAT-01390	热水器开关	用途: 热水器	电气材料/开关	个	热水器开关	电流/安装方式/型号缺失
REVIEW-MAT-01391	小便器感应器	适用: 小便器；类型: 感应器	行政后勤/卫浴配件	套	小便器感应器	电源/接口/型号缺失
REVIEW-MAT-01392	启动按钮指示灯	功能: 启动按钮、指示灯	电气材料/按钮指示	套	启动按钮指示灯	电压/颜色/开孔尺寸缺失
REVIEW-MAT-01393	急停按钮	功能: 急停	电气材料/按钮指示	套	急停按钮	触点/开孔尺寸/品牌缺失
REVIEW-MAT-01394	闪光蜂鸣器	功能: 闪光、蜂鸣	电气材料/报警器	套	闪光蜂鸣器	电压/声光等级缺失
REVIEW-MAT-01395	加厚铝合金扣	规格: 50；材质: 铝合金；特征: 加厚	液压/高压管路	个	50加厚铝合金扣	状态：可合并；与50铝合金扣同类，连接形式缺失
REVIEW-MAT-01396	加厚铝合金扣	规格: 80；材质: 铝合金；特征: 加厚	液压/高压管路	个	80加厚铝合金扣	状态：可合并；与80铝合金扣同类，连接形式缺失
REVIEW-MAT-01397	水泥砖	规格: 95；材质: 水泥	建筑材料/砌块砖	个	95水泥砖	尺寸完整性/强度等级缺失
REVIEW-MAT-01398	扎带	规格: 8*300	电气材料/扎带	个	8*300扎带	材质/颜色/包装数量缺失
REVIEW-MAT-01399	喷壶	容量: 2L	行政后勤/清洁用品	个	2升喷壶	材质/喷头类型缺失
REVIEW-MAT-01400	铁扎丝	规格原文: 500；材质: 铁	建筑材料/绑扎材料	卷	500铁扎丝	线径/每卷重量缺失
REVIEW-MAT-01401	铁丝	材质: 铁	五金耗材/金属丝	公斤	铁丝	状态：可合并；与1617同类，线径缺失 | 与2280同类，线径缺失
REVIEW-MAT-01402	高压清洗喷枪	类型: 喷枪；用途: 高压清洗	清洗设备/高压清洗机配件	把	高压清洗喷枪	压力等级/接口/适配型号缺失
REVIEW-MAT-01403	镀锌补心	规格: 80*65；表面: 镀锌；类型: 补心	管件/镀锌管件	个	80*65镀锌补心	螺纹标准/材质缺失
REVIEW-MAT-01404	振动电机套装	进口: 是；类型: 振动电机；配置: 整套	设备备件/电机	套	进口振动电机整套	品牌/功率/型号缺失
REVIEW-MAT-01405	泥浆比重计	用途: 泥浆比重测量	工具/测量工具	套	泥浆比重计	量程/精度缺失
REVIEW-MAT-01406	高压胶管	规格: 100；材质: 胶管	液压/高压管路	米	100高压胶管	压力等级/层数缺失
REVIEW-MAT-01407	高压接头	规格: 100；类型: 接头	液压/高压管路	个	100高压接头	螺纹/连接形式/压力等级缺失
REVIEW-MAT-01408	加厚铝合金扣	规格: 100；材质: 铝合金；特征: 加厚	液压/高压管路	个	100加厚铝合金扣	连接形式缺失
REVIEW-MAT-01409	加厚铜接头	规格: 100；材质: 铜；特征: 加厚	液压/高压管路	个	100加厚铜头	连接形式缺失
REVIEW-MAT-01410	高强度螺丝	规格: M30*100；强度等级: 12.9	紧固件/螺丝	个	M30*100/12.9级螺丝	头型/材质缺失
REVIEW-MAT-01411	螺母	规格: M30	紧固件/螺母	个	30螺母	状态：可建档 | 可合并；材质/强度等级缺失 | 与2296同类，材质/强度等级缺失
REVIEW-MAT-01412	垫片	规格: M30	紧固件/垫圈	个	30垫片	状态：可建档 | 可合并；平垫/弹垫/材质需确认 | 与2297同类，平垫/弹垫需确认
REVIEW-MAT-01413	隔环	加工: 是；型号/规格: 2350；部件: 隔环	定制件/机械加工件	个	加工隔环2350	状态：可建档-定制件；图纸/材质/尺寸缺失
REVIEW-MAT-01414	无缝钢管	外径: 76mm；壁厚: 8mm	钢材/钢管	米	76*8MM无缝管	材质/标准缺失
REVIEW-MAT-01415	高强度螺丝	规格: M30*80；强度等级: 10.8	紧固件/螺丝	个	M30*80/10.8级螺丝	头型/材质缺失
REVIEW-MAT-01416	扁平吊装带	额定载荷: 2T；长度: 2米；颜色: 彩色	吊装索具/吊带	条	彩色吊带2T*2米	状态：可合并；与1797同类，材质/安全系数缺失
REVIEW-MAT-01417	手拉葫芦	额定载荷: 2T；链长: 3米	吊装索具/葫芦	台	2T*3米手拉葫芦	品牌/认证标准缺失
REVIEW-MAT-01418	垃圾袋	规格: 120	行政后勤/清洁用品	个	120垃圾袋	完整尺寸/包装数量缺失
REVIEW-MAT-01419	金属测绳	材质: 金属；类型: 测绳	工具/测量工具	米	金属测绳	量程/刻度精度缺失
REVIEW-MAT-01420	扁平吊装带	执行标准: 国标；颜色: 彩色；额定载荷: 5T；长度: 8米	吊装索具/吊带	条	国标彩色吊带5T*8米	状态：可合并；与1547同类，材质/安全系数缺失
REVIEW-MAT-01421	安全网	尺寸: 6*1.8米；特征: 加厚	安全防护/防护网	张	6*1.8米加厚安全网	状态：可合并；与2166同类，材质/网孔缺失
REVIEW-MAT-01422	清洗剂泵头	品牌: 黑猫；用途: 清洗剂；部件: 泵头	清洗设备/配件	个	黑猫清洗剂泵头	适配型号/接口缺失
REVIEW-MAT-01423	游标卡尺	品牌: 得力；量程: 300mm；精度等级: 高精度	工具/测量工具	支	300mm得力高精度卡尺	具体精度/型号缺失
REVIEW-MAT-01424	尼龙绳	规格: 16；材质: 尼龙	绳索/尼龙绳	米	16尼龙绳	规格是直径16mm需确认
REVIEW-MAT-01425	高压胶水带	规格: 65；颜色: 蓝色；特征: 加厚	液压/高压管路	米	65加厚蓝色胶水带	状态：可建档 | 可合并；“胶水带”是否为胶水管/胶管需确认，压力等级缺失 | 与2314同类，“胶水带”名称需确认
REVIEW-MAT-01426	高压外丝堵头	规格: 25；连接: 外丝；类型: 堵头	液压/高压管路	个	25高压外丝堵头	螺纹标准/压力等级缺失
REVIEW-MAT-01427	高压球阀	品牌: 埃美柯；规格: 20；类型: 高压球阀	阀门/球阀	个	20埃美柯高压球阀	材质/压力等级/连接形式缺失
REVIEW-MAT-01428	高压对丝	规格: 20；类型: 对丝	液压/高压管路	个	20高压对丝	螺纹标准/压力等级缺失
REVIEW-MAT-01429	堵漏聚氨酯主剂	材料: 聚氨酯；用途: 堵漏；组分: 主剂	化工原料/堵漏材料	斤	堵漏聚氨酯主剂	包装规格/配比/品牌缺失
REVIEW-MAT-01430	堵漏聚氨酯副剂	材料: 聚氨酯；用途: 堵漏；组分: 副剂	化工原料/堵漏材料	斤	堵漏聚氨酯副剂	包装规格/配比/品牌缺失
REVIEW-MAT-01431	双快水泥	类型: 双快水泥	建材/水泥砂浆	包	双快水泥	状态：可合并；与2350同类，强度等级/包装重量缺失 | 与2321同类，强度等级/包装重量缺失
REVIEW-MAT-01432	铝合金枪头	规格: 65；材质: 铝合金；部件: 枪头	注浆设备/配件	套	65铝合金枪头	适配设备/接口缺失
REVIEW-MAT-01433	聚氨酯枪头	用途: 聚氨酯注浆；部件: 枪头	注浆设备/配件	个	聚氨酯枪头	规格/接口/适配设备缺失
REVIEW-MAT-01434	齿轮泵	功率: 2.2kW；类型: 齿轮泵	设备备件/泵	台	2.2千瓦齿轮泵	流量/压力/接口/型号缺失
REVIEW-MAT-01435	高压水管	规格: 100；用途: 高压水	液压/高压管路	米	100高压水管	压力等级/材质/层数缺失
REVIEW-MAT-01436	钻头	直径: 10mm；长度: 200mm	工具/钻头	个	10*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01437	钻头	直径: 12mm；长度: 200mm	工具/钻头	个	12*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01438	钻头	直径: 14mm；长度: 200mm	工具/钻头	个	14*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01439	钻头	直径: 16mm；长度: 200mm	工具/钻头	个	16*200钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01440	注浆管接头	部件: 管头/接头；用途: 注浆	注浆设备/配件	个	注浆管头子	规格/接口/材质缺失
REVIEW-MAT-01441	胶钳	品牌: 世达；规格: 200mm；类型: 胶钳	工具/手动工具	个	200世达胶钳	准确品类是否钢丝钳/胶柄钳需确认
REVIEW-MAT-01442	注浆枪头	用途: 注浆；部件: 枪头	注浆设备/配件	个	注浆枪头	规格/接口/适配设备缺失
REVIEW-MAT-01443	尖嘴钳	品牌: 世达；类型: 尖嘴钳	工具/手动工具	个	世达尖嘴钳	长度/型号缺失
REVIEW-MAT-01444	高压球阀	品牌: 埃美柯；规格: 25；类型: 高压球阀	阀门/球阀	个	25埃美柯高压球阀	材质/压力等级/连接形式缺失
REVIEW-MAT-01445	钢丝管	规格: 25；结构: 钢丝增强	液压/高压管路	米	25钢丝管	压力等级/层数/材质缺失
REVIEW-MAT-01446	转换宝塔接头	类型: 宝塔头；用途: 转换接头	液压/高压管路	套	转换宝塔头	两端规格/材质/压力等级缺失
REVIEW-MAT-01447	高压胶管	规格: 50；结构等级: 4SH	液压/高压管路	米	50*4SH高压胶管	压力等级/标准/接头形式缺失
REVIEW-MAT-01448	胶管接头	规格: 100；类型: 胶管接头	液压/高压管路	套	100胶管接头	连接形式/材质/压力等级缺失
REVIEW-MAT-01449	钻头	直径: 20mm；长度: 800mm	工具/钻头	个	20*800钻头	钻头类型/柄型/材质缺失
REVIEW-MAT-01450	棉被	类型: 棉被	行政后勤/生活用品	个	棉被	尺寸/重量/用途缺失
REVIEW-MAT-01451	加厚连体防护服	特征: 加厚；款式: 连体	劳保耗材/防护服	套	加厚连体裤	材质/尺码/防护等级缺失
REVIEW-MAT-01452	高压内丝堵头	螺纹: M36*2；连接: 内丝；类型: 堵头	液压/高压管路	个	M36*2高压内丝堵头	压力等级/材质缺失
REVIEW-MAT-01453	高压外丝堵头	螺纹: M36*2；连接: 外丝；类型: 堵头	液压/高压管路	个	M36*2高压外丝堵头	压力等级/材质缺失
REVIEW-MAT-01454	压力表	量程/压力: 60公斤；类型: 压力表	仪表/压力仪表	个	60公斤压力表	标准单位MPa/接口/表径/精度缺失
REVIEW-MAT-01455	螺纹接头	螺纹: M20*1.5；类型: 接头	液压/高压管路	个	M20*1.5接头	连接形式/材质/压力等级缺失
REVIEW-MAT-01456	不锈钢三通	规格: 25；材质: 不锈钢；类型: 三通	管件/不锈钢管件	个	25三通不锈钢	304/316材质牌号及连接方式缺失
REVIEW-MAT-01457	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 12米	液压/高压管路	根	胶管36*2-2层-12米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2358同类，压力等级/接头形式缺失
REVIEW-MAT-01458	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 17.7米	液压/高压管路	根	胶管36*2-2层-17.7米	压力等级/接头形式/材质缺失
REVIEW-MAT-01459	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 5.2米	液压/高压管路	根	胶管36*2-2层-5.2米	压力等级/接头形式/材质缺失
REVIEW-MAT-01460	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 7.9米	液压/高压管路	根	胶管36*2-2层-7.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01461	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 15.9米	液压/高压管路	根	胶管36*2-2层-15.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01462	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 2.3米	液压/高压管路	根	胶管36*2-2层-2.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01463	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.4米	液压/高压管路	根	胶管36*2-2层-3.4米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2364同类，压力等级/接头形式缺失
REVIEW-MAT-01464	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.9米	液压/高压管路	根	胶管36*2-2层-3.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01465	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1.1米	液压/高压管路	根	胶管36*2-2层-1.1米	压力等级/接头形式/材质缺失
REVIEW-MAT-01466	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 7.5米	液压/高压管路	根	胶管36*2-2层-7.5米	压力等级/接头形式/材质缺失
REVIEW-MAT-01467	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1米	液压/高压管路	根	胶管36*2-2层-1米	状态：可建档 | 可合并；压力等级/接头形式/材质缺失 | 与2368同类，压力等级/接头形式缺失
REVIEW-MAT-01468	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1.3米	液压/高压管路	根	胶管36*2-2层-1.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01469	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 5.9米	液压/高压管路	根	胶管36*2-2层-5.9米	压力等级/接头形式/材质缺失
REVIEW-MAT-01470	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 3.3米	液压/高压管路	根	胶管36*2-2层-3.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01471	不锈钢骑马卡	定制: 是；规格: 36；材质: 不锈钢；厚度/螺纹: 36*2.0	定制件/管夹卡箍	件	订制36不锈钢骑马卡36*2.0	状态：可建档-定制件；图纸/用途/尺寸口径需确认
REVIEW-MAT-01472	直角接头加工件	加工: 是；规格: 36*3/36*2；类型: 直角接头	定制件/管路接头	件	加工36*3/36*2直角接头	状态：可建档-定制件；图纸/材质/压力等级缺失
REVIEW-MAT-01473	变径接头	规格: 25*2/36*2；类型: 大小头/变径	液压/高压管路	只	25*2/36*2大小头	材质/压力等级/螺纹标准缺失
REVIEW-MAT-01474	六联管夹	联数: 六联；规格: 36	管夹/管路固定件	组	六联管夹36	材质/安装孔距/型号缺失
REVIEW-MAT-01475	单管夹	联数: 单；规格: 36	管夹/管路固定件	只	单管夹36	材质/安装孔距/型号缺失
REVIEW-MAT-01476	三通接头	螺纹/规格: 36*2；类型: 三通	液压/高压管路	只	36*2三通	状态：可建档 | 可合并；材质/压力等级/连接形式缺失 | 与2377同类，材质/压力等级缺失
REVIEW-MAT-01477	对丝接头	螺纹/规格: 36*2；类型: 对丝	液压/高压管路	只	36*2对丝	状态：可建档 | 可合并；材质/压力等级缺失 | 与2378同类，材质/压力等级缺失
REVIEW-MAT-01478	泥浆管接头加工件	加工: 是；管径: Φ219；用途: 泥浆管	定制件/管路接头	件	加工泥浆管接头Φ219	状态：可建档-定制件；图纸/材质/壁厚/连接方式缺失
REVIEW-MAT-01479	扣压钢丝绳	加工: 扣压；直径/规格: 50；长度: 3.6米	吊装索具/钢丝绳	根	扣压钢丝绳50*3.6米	状态：可建档-定制件；钢丝绳结构/吊具端头/安全载荷缺失
REVIEW-MAT-01480	扣压钢丝绳	加工: 扣压；直径/规格: 47.5；长度: 9米	吊装索具/钢丝绳	根	扣压钢丝绳47.5*9米	状态：可建档-定制件；钢丝绳结构/吊具端头/安全载荷缺失
REVIEW-MAT-01481	铝合金八字扣头	规格: M52；材质: 铝合金；类型: 八字扣头	液压/高压管路	只	M52铝合金八字扣头	适配胶管规格/连接形式缺失
REVIEW-MAT-01482	聚氨酯密封胶	品牌: 普赛达；材料: 聚氨酯；容量: 600mL	化工耗材/密封胶	支	普赛达聚氨酯密封胶600mL | 普赛达聚氨酯密封胶600ML	状态：可建档 | 可合并；型号/颜色/固化特性缺失 | 与2383同类，型号/颜色缺失
REVIEW-MAT-01483	胶枪	品牌: 世达；类型: 胶枪	工具/手动工具	把	世达胶枪	适配胶筒容量/型号缺失
REVIEW-MAT-01484	不锈钢止回阀	材质: 304；公称通径: DN25	阀门/止回阀	只	304止回阀DN25	压力等级/连接形式缺失
REVIEW-MAT-01485	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 8.3米	液压/高压管路	根	胶管36*2-2层-8.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01486	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 4.2米	液压/高压管路	根	胶管36*2-2层-4.2米	压力等级/接头形式/材质缺失
REVIEW-MAT-01487	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 1.2米	液压/高压管路	根	胶管36*2-2层-1.2米	压力等级/接头形式/材质缺失
REVIEW-MAT-01488	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 7.3米	液压/高压管路	根	胶管36*2-2层-7.3米	压力等级/接头形式/材质缺失
REVIEW-MAT-01489	齿轮油	品牌: 长城；品类: 齿轮油；包装: 18L	油品/润滑油	桶	长城齿轮油18L	粘度等级/型号缺失
REVIEW-MAT-01490	对丝接头	规格: 1/2；类型: 对丝	液压/高压管路	只	接头1/2对丝	螺纹制式/材质/压力等级缺失
REVIEW-MAT-01491	变径接头	规格: 1/2-3/4；类型: 变径	液压/高压管路	只	变径接头1/2-3/4	螺纹制式/材质/压力等级缺失
REVIEW-MAT-01492	断路器	品牌: 施耐德；额定电流: 250A；极数: 3P	电气/低压电器	套	施耐德断路器250A-3P	系列/分断能力/型号缺失
REVIEW-MAT-01493	钢丝绳润滑脂	品牌: 伍尔特；用途: 钢丝绳；容量: 500mL	油品/润滑脂	瓶	伍尔特钢丝绳黄油500mL	型号/温度范围缺失
REVIEW-MAT-01494	高压内丝直接	螺纹: M32*2；连接: 内丝；类型: 直接	液压/高压管路	只	m32*2高压内丝直接	原始小写m规范为M，材质/压力等级缺失
REVIEW-MAT-01495	丙纶吊装袋	材质: 丙纶纤维；尺寸: 3米*3米；载荷: 大吨位	吊装索具/吊包	只	大吨位丙纶纤吊包3米*3米	额定载荷/安全系数/吊点形式缺失
REVIEW-MAT-01496	高压转换接头	螺纹: 36*2；形式: 外丝转内丝	液压/高压管路	套	高压接头36*2外丝转内丝	材质/压力等级缺失
REVIEW-MAT-01497	高压转换接头	螺纹: 52*2；形式: 外丝转内丝	液压/高压管路	套	高压接头52*2外丝转内丝	材质/压力等级缺失
REVIEW-MAT-01498	高压转换接头	螺纹: 24*1.5/36*2；类型: 转换接头	液压/高压管路	套	高压接头24*1.5/36*2	内外丝方向/材质/压力等级缺失
REVIEW-MAT-01499	高压对丝接头	螺纹: 20*1.5；类型: 对丝	液压/高压管路	只	高压接头20*1.5对丝	材质/压力等级缺失
REVIEW-MAT-01500	高压对丝接头	螺纹: 24*1.5；类型: 对丝	液压/高压管路	只	高压接头24*1.5对丝	材质/压力等级缺失
REVIEW-MAT-01501	高压对丝接头	螺纹: 30*2；类型: 对丝	液压/高压管路	只	高压接头30*2对丝	材质/压力等级缺失
REVIEW-MAT-01502	高压对丝接头	螺纹: 36*2；类型: 对丝	液压/高压管路	只	高压接头36*2对丝	材质/压力等级缺失
REVIEW-MAT-01503	高压对丝接头	螺纹: 52*2；类型: 对丝	液压/高压管路	只	高压接头52*2对丝	材质/压力等级缺失
REVIEW-MAT-01504	O型圈套装	品牌: 派克；套装: ABC	密封件/O型圈	盒	派克O型圈套装ABC	材质/规格明细/系列缺失
REVIEW-MAT-01505	弹性销	规格: M4*28；类型: 弹性销	紧固件/销	只	弹性销M4*28	材质/标准缺失
REVIEW-MAT-01506	弹性销	规格: M6*28；类型: 弹性销	紧固件/销	只	弹性销M6*28	材质/标准缺失
REVIEW-MAT-01507	T型螺丝套件	规格: M16*50；类型: T型螺丝；套件: 平垫+弹垫+螺母	紧固件/螺丝套件	套	T型螺丝M16*50平弹帽	材质/强度等级/套件明细需确认
REVIEW-MAT-01508	注浆泵连杆压力表	设备: 注浆泵；部件: 连杆压力表；量程: 16MPa	注浆设备/配件	件	注浆泵连杆压力表16MPa	适配型号/接口/精度缺失
REVIEW-MAT-01509	离心机滤网	定制: 是；适配设备: 离心机；尺寸: 1.4米*0.31米*0.72米	定制件/设备滤网	个	订做离心机滤网1.4米*0.31米*0.72米 | 定做离心机滤网1.4米*0.31米*0.72米	状态：可建档-定制件 | 可合并；材质/目数/图纸缺失 | 与2413同类，材质/目数/图纸缺失
REVIEW-MAT-01510	抗盐膨润土	类型: 抗盐膨润土	化工原料/膨润土	T	抗盐膨润土	指标/厂家/包装缺失
REVIEW-MAT-01511	T型螺丝套件	规格: M16*100；类型: T型螺丝；套件: 平垫+弹垫+螺母	紧固件/螺丝套件	套	T型螺丝M16*100平弹帽	材质/强度等级/套件明细需确认
REVIEW-MAT-01512	重型高压接头	规格: 36*2；类型: 重型高压接头	液压/高压管路	只	重型高压接头36*2	材质/压力等级/连接形式缺失
REVIEW-MAT-01513	电磁阀	进口: 是；型号: 2622200	阀门/电磁阀	只	进口电磁阀2622200	状态：可建档 | 可合并；品牌/电压/接口/介质缺失 | 与2417同类，品牌/电压/接口缺失
REVIEW-MAT-01514	重型管夹加工件	加工: 是；类型: 重型管夹；规格: 60	定制件/管夹卡箍	只	加工重型管夹60	状态：可建档-定制件；材质/图纸/安装孔距缺失
REVIEW-MAT-01515	聚氨酯密封胶	品牌: 普赛达；材料: 聚氨酯	化工耗材/密封胶	支	普赛达聚氨酯密封胶	状态：可合并；与2383同类，容量/型号缺失 | 与2420同类，容量/型号缺失
REVIEW-MAT-01516	超高压接头	品牌: 日东；系列/规格: 38S；等级: 超高压	液压/超高压管路	套	日东超高压接头38S	接头形式/压力等级/材质缺失
REVIEW-MAT-01517	超高压接头	品牌: 日东；系列/规格: 42L；等级: 超高压	液压/超高压管路	套	日东超高压接头42L	接头形式/压力等级/材质缺失
REVIEW-MAT-01518	超高压液压接头	品牌: 派克；系列/规格: 24S；等级: 超高压	液压/超高压管路	套	派克超高压液压接头24S	接头形式/压力等级/材质缺失
REVIEW-MAT-01519	胶管总成	规格: 36*2H；层数: 2层；长度: 3米	液压/高压管路	条	胶管36*2H-2层-3米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01520	胶管总成	规格: 36*2H；层数: 2层；长度: 2米	液压/高压管路	条	胶管36*2H-2层-2米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01521	高压内丝接头	规格: 36*2H；连接: 内丝	液压/高压管路	只	高压内丝接头36*2H	H含义/材质/压力等级缺失
REVIEW-MAT-01522	抗盐膨润土	类型: 抗盐膨润土	化工原料/膨润土	吨	抗盐膨润土	状态：可合并；与2414同类，指标/厂家缺失
REVIEW-MAT-01523	T型螺丝套件	规格: M16*50；套件: 平垫+弹垫+螺母	紧固件/螺丝套件	套	T型螺丝M16*50平弹帽	状态：可合并；与2410同类，材质/强度等级缺失
REVIEW-MAT-01524	加厚垫片	规格: M18*50*60mm；特征: 加厚	紧固件/垫圈	只	加厚垫片M18*50*60mm	内径/外径/厚度字段需拆清，材质缺失
REVIEW-MAT-01525	六联管夹加工件	加工: 是；联数: 六联；规格: 35	定制件/管夹卡箍	件	加工六联管夹35	状态：可建档-定制件；材质/图纸/安装孔距缺失
REVIEW-MAT-01526	加厚风筒	加工: 是；直径: 600；长度: 20米；特征: 加厚	定制件/通风风筒	条	加工加厚风筒600*20米	状态：可建档-定制件；材质/连接方式/阻燃等级缺失
REVIEW-MAT-01527	加厚风筒	加工: 是；直径: 600；长度: 10米；特征: 加厚	定制件/通风风筒	条	加工加厚风筒600*10米	状态：可建档-定制件；材质/连接方式/阻燃等级缺失
REVIEW-MAT-01528	密封胶	品牌: 普赛达	化工耗材/密封胶	支	普赛达密封胶	状态：可合并；是否聚氨酯密封胶及容量需确认
REVIEW-MAT-01529	螺纹钢	规格: 20E；长度: 12米	钢材/螺纹钢	T	螺纹钢20E*12米	20E含义/材质牌号/执行标准缺失
REVIEW-MAT-01530	工字钢	规格: 14#	钢材/型钢	米	工字钢14#	状态：可建档 | 可合并；材质/长度/理论重量/标准缺失 | 与2446同类，材质/标准缺失
REVIEW-MAT-01531	液压油	进口: 是；包装: 10L	油品/液压油	桶	进口液压油10L	粘度等级/品牌/型号缺失
REVIEW-MAT-01532	电机	功率: 5.5kW	设备备件/电机	台	电机5.5KW	电压/转速/安装方式/防护等级缺失
REVIEW-MAT-01533	管道泵	功率: 5.5kW；口径/规格: 50	设备备件/泵	台	管道泵5.5KW-50	流量/扬程/型号缺失
REVIEW-MAT-01534	不锈钢高压球阀	材质: 不锈钢；用途: 液压；规格: 1寸	阀门/球阀	只	不锈钢液压高压球阀1寸	压力等级/连接形式/材质牌号缺失
REVIEW-MAT-01535	液压高压外丝接头	规格: 1寸；连接: 外丝；用途: 液压高压	液压/高压管路	只	液压高压外丝接头1寸	材质/压力等级/螺纹制式缺失
REVIEW-MAT-01536	弹簧式安全阀	型号: A28H-64；公称通径: DN32；结构: 弹簧式	阀门/安全阀	只	弹簧式安全阀A28H-64-DN32	整定压力/介质/材质缺失
REVIEW-MAT-01537	通丝螺杆	规格: 14*700；类型: 通丝	建筑施工耗材/紧固件	只	通丝14*700	材质/表面处理/牙距缺失
REVIEW-MAT-01538	山型卡	类型: 山型卡	建筑施工耗材/模板配件	只	山型卡	规格/材质/适配通丝缺失
REVIEW-MAT-01539	木方	长度: 4米；截面: 40*90	建筑材料/木材	根	木方4米*40*90	木材等级/材质缺失
REVIEW-MAT-01540	建筑模板	颜色: 黑；尺寸: 1830*915*14	建筑材料/模板	张	黑模板1830*915*14	材质/覆膜/周转次数缺失
REVIEW-MAT-01541	建筑模板	颜色: 红；尺寸: 1830*915*14	建筑材料/模板	张	红模板1830*915*14	材质/覆膜/周转次数缺失
REVIEW-MAT-01542	油性聚氨酯	类型: 油性；材料: 聚氨酯；包装: 10KG	化工原料/堵漏材料	桶	油性聚氨酯10KG	品牌/用途/SDS缺失
REVIEW-MAT-01543	丙酮	品名: 丙酮；包装: 10KG	化工原料/溶剂	桶	丙酮10KG	危化品属性/纯度/SDS缺失
REVIEW-MAT-01544	钻头	品牌: 博世；柄型: 五坑三槽；直径: Φ12；长度: 200	工具/钻头	支	博世五坑三槽钻头Φ12*200	材质/适配电锤型号缺失
REVIEW-MAT-01545	注浆止水针头	长度: 150mm；用途: 注浆止水	注浆设备/耗材	支	注浆止水针头150mm	直径/接口/材质缺失
REVIEW-MAT-01546	注浆止水针头	长度: 100mm；用途: 注浆止水	注浆设备/耗材	支	注浆止水针头100mm	直径/接口/材质缺失
REVIEW-MAT-01547	高压注浆机	类型: 高压注浆机	设备/注浆设备	台	高压注浆机	品牌/型号/压力/功率缺失
REVIEW-MAT-01548	注浆管套装	长度: 5米；包含: 配件	注浆设备/配件	套	注浆管5米带配件	管径/压力等级/配件清单缺失
REVIEW-MAT-01549	PVC直接	品牌: 公元；材质: PVC；规格: 315；类型: 直接	管件/PVC管件	只	公元PVC315直接	压力等级/连接方式缺失
REVIEW-MAT-01550	PVC弯头	品牌: 公元；材质: PVC；规格: 315；角度: 45度	管件/PVC管件	只	公元PVC315/45度弯头	压力等级/连接方式缺失
REVIEW-MAT-01551	PVC弯头	品牌: 公元；材质: PVC；规格: 315；角度: 90度	管件/PVC管件	只	公元PVC315/90度弯头	压力等级/连接方式缺失
REVIEW-MAT-01552	PVC胶水	品牌: 公元；包装: 1KG；用途: PVC粘接	胶粘剂/PVC胶水	瓶	公元胶水1KG	型号/适用材质缺失
REVIEW-MAT-01553	钻头	品牌: 博世；规格: M14*260	工具/钻头	支	博世钻头m14*260	M14是否直径Φ14需确认，柄型/材质缺失
REVIEW-MAT-01554	冲孔冲头	直径: Φ14；长度: 150	工具/冲头	支	冲孔冲Φ14*150	材质/适配冲孔机缺失
