候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
瓶手推车	瓶手推车	暂作为检索/属性候选	low	8	2	2	否	施工机具设备/搬运设备:8	乙炔瓶手推车；氧气瓶手推车	乙炔瓶手推车；氧气瓶手推车	WELD-000027 氧气瓶手推车 适用气体：氧气；类型：手推车；WELD-000028 乙炔瓶手推车 适用气体：乙炔；类型：手推车；WELD-000029 氧气瓶手推车 适用气体：氧气；特征：加厚；WELD-000030 乙炔瓶手推车 适用气体：乙炔；特征：加厚；WELD-000033 氧气瓶手推车 适用气体：氧气；轮型：大充气轮；WELD-000034 乙炔瓶手推车 适用气体：乙炔；轮型：大充气轮；WELD-000035 氧气瓶手推车 适用气体：氧气；轮胎：43cm；WELD-000036 乙炔瓶手推车 适用气体：乙炔；轮胎：43cm	有重复但族边界不够清晰，先不固化。
电保	电保	暂作为检索/属性候选	low	8	1	1	否	电气电料/低压电器:8	漏电保护器	漏电保护器	ELEC-000028 漏电保护器 品牌：施耐德；极数：2P；电流：63A；ELEC-000045 漏电保护器 品牌：德力西；电流：400A；极数：4P；ELEC-000046 漏电保护器 品牌：德力西；电流：250A；极数：4P；ELEC-000081 漏电保护器 电流：40A；类型：漏电保护；ELEC-000176 漏电保护器 品牌：德力西；极数：4P；额定电流：63A；ELEC-000177 漏电保护器 品牌：德力西；极数：2P；额定电流：16A；ELEC-000182 漏电保护器 品牌：德力西；极数：2P；额定电流：25A；ELEC-000194 漏电保护器 品牌：德力西；极数：2P；额定电流：20A	有重复但族边界不够清晰，先不固化。
电保护	电保护	暂作为检索/属性候选	low	8	1	1	否	电气电料/低压电器:8	漏电保护器	漏电保护器	ELEC-000028 漏电保护器 品牌：施耐德；极数：2P；电流：63A；ELEC-000045 漏电保护器 品牌：德力西；电流：400A；极数：4P；ELEC-000046 漏电保护器 品牌：德力西；电流：250A；极数：4P；ELEC-000081 漏电保护器 电流：40A；类型：漏电保护；ELEC-000176 漏电保护器 品牌：德力西；极数：4P；额定电流：63A；ELEC-000177 漏电保护器 品牌：德力西；极数：2P；额定电流：16A；ELEC-000182 漏电保护器 品牌：德力西；极数：2P；额定电流：25A；ELEC-000194 漏电保护器 品牌：德力西；极数：2P；额定电流：20A	有重复但族边界不够清晰，先不固化。
电保护器	电保护器	暂作为检索/属性候选	low	8	1	1	否	电气电料/低压电器:8	漏电保护器	漏电保护器	ELEC-000028 漏电保护器 品牌：施耐德；极数：2P；电流：63A；ELEC-000045 漏电保护器 品牌：德力西；电流：400A；极数：4P；ELEC-000046 漏电保护器 品牌：德力西；电流：250A；极数：4P；ELEC-000081 漏电保护器 电流：40A；类型：漏电保护；ELEC-000176 漏电保护器 品牌：德力西；极数：4P；额定电流：63A；ELEC-000177 漏电保护器 品牌：德力西；极数：2P；额定电流：16A；ELEC-000182 漏电保护器 品牌：德力西；极数：2P；额定电流：25A；ELEC-000194 漏电保护器 品牌：德力西；极数：2P；额定电流：20A	有重复但族边界不够清晰，先不固化。
电源	电源	暂作为检索/属性候选	low	8	7	7	是	电气电料/低压电器:5；电气电料/电线电缆:2；工具量具/检测仪器:1	双电源转换器；开关电源；打印机电源线；电源极性检测器；电源线；电源转换器；电源适配器	双电源转换器；开关电源；打印机电源线；电源极性检测器；电源线；电源转换器；电源适配器	ELEC-000074 电源适配器 输出：12V 1A；ELEC-000079 开关电源 输出电压：36V；功率：400W；TOOL-000079 电源极性检测器 用途：电源极性检测；ELEC-000085 电源线 长度：2米；ADMIN-000015 打印机电源线 适用设备：打印机；类型：电源线；ELEC-000192 双电源转换器 电压：220V；极数：2P；电流：20A；ELEC-000193 双电源转换器 电压：24V；ELEC-000253 电源转换器 输入：24V；输出：12V；电流：2A	有重复但族边界不够清晰，先不固化。
筑模	筑模	暂作为检索/属性候选	low	8	1	1	否	建筑材料/模板木方:8	建筑模板	建筑模板	CONST-000017 建筑模板 尺寸：2.44*1.22*15；CONST-000018 建筑模板 尺寸：2.44*1.22*1.5；颜色：黑色；CONST-000019 建筑模板 尺寸：2.44*1.22*1.5；特征：厚；CONST-000022 建筑模板 颜色：黑；尺寸：1830*915*14；CONST-000023 建筑模板 颜色：红；尺寸：1830*915*14；CONST-000034 建筑模板 颜色：红；尺寸：2.4m*1.22m；厚度：15mm；CONST-000038 建筑模板 颜色：黑；尺寸：2.4m*1.22m；厚度：15mm；CONST-000040 建筑模板 表面/颜色：黑膜；尺寸：1.22m*2.44m；厚度：15mm	有重复但族边界不够清晰，先不固化。
筑模板	筑模板	暂作为检索/属性候选	low	8	1	1	否	建筑材料/模板木方:8	建筑模板	建筑模板	CONST-000017 建筑模板 尺寸：2.44*1.22*15；CONST-000018 建筑模板 尺寸：2.44*1.22*1.5；颜色：黑色；CONST-000019 建筑模板 尺寸：2.44*1.22*1.5；特征：厚；CONST-000022 建筑模板 颜色：黑；尺寸：1830*915*14；CONST-000023 建筑模板 颜色：红；尺寸：1830*915*14；CONST-000034 建筑模板 颜色：红；尺寸：2.4m*1.22m；厚度：15mm；CONST-000038 建筑模板 颜色：黑；尺寸：2.4m*1.22m；厚度：15mm；CONST-000040 建筑模板 表面/颜色：黑膜；尺寸：1.22m*2.44m；厚度：15mm	有重复但族边界不够清晰，先不固化。
绝缘	绝缘	暂作为检索/属性候选	low	8	7	7	是	工具量具/电工工具:3；电气电料/绝缘材料:2；工具量具/检测仪器:2；焊接切割/焊割工具:1	二保焊绝缘套；绝缘一字螺丝刀；绝缘十字螺丝刀；绝缘摇表；绝缘橡胶板；绝缘电阻表；绝缘胶带	二保焊绝缘套；绝缘一字螺丝刀；绝缘十字螺丝刀；绝缘摇表；绝缘橡胶板；绝缘电阻表；绝缘胶带	ELEC-000083 绝缘胶带 类型：绝缘胶带；TOOL-000093 绝缘摇表 量程/电压：2500；WELD-000024 二保焊绝缘套 用途：二保焊；类型：绝缘套；ELEC-000220 绝缘电阻表 品牌：人民；测试电压：500V；量程：500兆欧；CONST-000039 绝缘橡胶板 特性：绝缘；厚度：3mm；TOOL-000314 绝缘十字螺丝刀 头型：十字；规格：4*100；特性：绝缘；TOOL-000315 绝缘十字螺丝刀 头型：十字；规格：5*125；特性：绝缘；TOOL-000316 绝缘一字螺丝刀 头型：一字；规格：3*75；特性：绝缘	有重复但族边界不够清晰，先不固化。
调和	调和	暂作为检索/属性候选	low	8	2	2	否	化工胶粘涂料/涂料:8	调和油漆；调和漆	调和油漆；调和漆	CHEM-000007 调和油漆 颜色：铁红；CHEM-000008 调和油漆 颜色：白色；类型：调和油漆；CHEM-000013 调和漆 颜色：白色；类型：调和漆；CHEM-000023 调和漆 颜色：黄色；类型：调和漆；CHEM-000024 调和漆 颜色：铁红；类型：调和漆；CHEM-000040 调和漆 类型：调和漆；颜色：黑色；CHEM-000047 调和漆 颜色：红色；类型：调和漆；CHEM-000048 调和漆 颜色：中黄；类型：调和漆	有重复但族边界不够清晰，先不固化。
通接	通接	暂作为检索/属性候选	low	8	3	2	否	液压气动/气动接头:6；液压气动/液压接头:2	气动接头；液压接头	三通接头；气管三通接头；气管直通接头	PIPE-000198 气管直通接头 规格：8厘；类型：直通；PIPE-000199 气管直通接头 规格：10厘；类型：直通；PIPE-000200 气管直通接头 规格：16厘；类型：直通；PIPE-000204 气管三通接头 规格：8厘；类型：三通；PIPE-000205 气管三通接头 规格：10厘；类型：三通；PIPE-000206 气管三通接头 规格：16厘；类型：三通；PIPE-000337 三通接头 螺纹/规格：36*2；PIPE-000389 三通接头 螺纹：20*1.5；类型：三通	有重复但族边界不够清晰，先不固化。
通接头	通接头	暂作为检索/属性候选	low	8	3	2	否	液压气动/气动接头:6；液压气动/液压接头:2	气动接头；液压接头	三通接头；气管三通接头；气管直通接头	PIPE-000198 气管直通接头 规格：8厘；类型：直通；PIPE-000199 气管直通接头 规格：10厘；类型：直通；PIPE-000200 气管直通接头 规格：16厘；类型：直通；PIPE-000204 气管三通接头 规格：8厘；类型：三通；PIPE-000205 气管三通接头 规格：10厘；类型：三通；PIPE-000206 气管三通接头 规格：16厘；类型：三通；PIPE-000337 三通接头 螺纹/规格：36*2；PIPE-000389 三通接头 螺纹：20*1.5；类型：三通	有重复但族边界不够清晰，先不固化。
铁丝	铁丝	暂作为检索/属性候选	low	8	1	1	否	金属材料/金属丝材:8	铁丝	铁丝	SPARE-000024 铁丝 规格：12号；SPARE-000025 铁丝 规格：14号；SPARE-000038 铁丝 规格：12#；SPARE-000039 铁丝 规格：14#；METAL-000067 铁丝 材质：铁；METAL-000111 铁丝 规格：14#；材质：铁；METAL-000163 铁丝 材质：铁；规格：12#；METAL-000166 铁丝 材质：铁；规格：14#	有重复但族边界不够清晰，先不固化。
锌内	锌内	暂作为检索/属性候选	low	8	2	2	否	管材管件阀门/直接:5；管材管件阀门/弯头:3	弯头；直接/接头	镀锌内丝弯头；镀锌内丝直接	PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000430 镀锌内丝直接 表面：镀锌；连接：内丝；规格：2寸；类型：直接；PIPE-000434 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：2寸；类型：弯头；PIPE-000435 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：3寸；类型：弯头；PIPE-000440 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：4分；类型：弯头；PIPE-000484 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：2寸；PIPE-000486 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：6分	有重复但族边界不够清晰，先不固化。
锌内丝	锌内丝	暂作为检索/属性候选	low	8	2	2	否	管材管件阀门/直接:5；管材管件阀门/弯头:3	弯头；直接/接头	镀锌内丝弯头；镀锌内丝直接	PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000430 镀锌内丝直接 表面：镀锌；连接：内丝；规格：2寸；类型：直接；PIPE-000434 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：2寸；类型：弯头；PIPE-000435 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：3寸；类型：弯头；PIPE-000440 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：4分；类型：弯头；PIPE-000484 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：2寸；PIPE-000486 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：6分	有重复但族边界不够清晰，先不固化。
镀锌内	镀锌内	暂作为检索/属性候选	low	8	2	2	否	管材管件阀门/直接:5；管材管件阀门/弯头:3	弯头；直接/接头	镀锌内丝弯头；镀锌内丝直接	PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000430 镀锌内丝直接 表面：镀锌；连接：内丝；规格：2寸；类型：直接；PIPE-000434 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：2寸；类型：弯头；PIPE-000435 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：3寸；类型：弯头；PIPE-000440 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：4分；类型：弯头；PIPE-000484 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：2寸；PIPE-000486 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：6分	有重复但族边界不够清晰，先不固化。
镀锌内丝	镀锌内丝	暂作为检索/属性候选	low	8	2	2	否	管材管件阀门/直接:5；管材管件阀门/弯头:3	弯头；直接/接头	镀锌内丝弯头；镀锌内丝直接	PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000430 镀锌内丝直接 表面：镀锌；连接：内丝；规格：2寸；类型：直接；PIPE-000434 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：2寸；类型：弯头；PIPE-000435 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：3寸；类型：弯头；PIPE-000440 镀锌内丝弯头 表面：镀锌；连接：内丝；规格：4分；类型：弯头；PIPE-000484 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：2寸；PIPE-000486 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：6分	有重复但族边界不够清晰，先不固化。
长六	长六	暂作为检索/属性候选	low	8	2	2	是	工具量具/手动工具:7；紧固件与连接件/螺丝:1	加长六角套筒；螺丝	加长六角套筒；加长六角螺丝	TOOL-000174 加长六角套筒 规格：5；特征：加长；类型：六角；TOOL-000175 加长六角套筒 规格：6；特征：加长；类型：六角；TOOL-000176 加长六角套筒 规格：7；特征：加长；类型：六角；TOOL-000177 加长六角套筒 规格：8；特征：加长；类型：六角；TOOL-000178 加长六角套筒 规格：10；特征：加长；类型：六角；TOOL-000179 加长六角套筒 规格：12；特征：加长；类型：六角；TOOL-000180 加长六角套筒 规格：14；特征：加长；类型：六角；FAST-000058 加长六角螺丝 定制：是；规格：M27*100；头型：六角；特征：加长	有重复但族边界不够清晰，先不固化。
长六角	长六角	暂作为检索/属性候选	low	8	2	2	是	工具量具/手动工具:7；紧固件与连接件/螺丝:1	加长六角套筒；螺丝	加长六角套筒；加长六角螺丝	TOOL-000174 加长六角套筒 规格：5；特征：加长；类型：六角；TOOL-000175 加长六角套筒 规格：6；特征：加长；类型：六角；TOOL-000176 加长六角套筒 规格：7；特征：加长；类型：六角；TOOL-000177 加长六角套筒 规格：8；特征：加长；类型：六角；TOOL-000178 加长六角套筒 规格：10；特征：加长；类型：六角；TOOL-000179 加长六角套筒 规格：12；特征：加长；类型：六角；TOOL-000180 加长六角套筒 规格：14；特征：加长；类型：六角；FAST-000058 加长六角螺丝 定制：是；规格：M27*100；头型：六角；特征：加长	有重复但族边界不够清晰，先不固化。
高压油管	高压油管	暂作为检索/属性候选	low	8	2	2	否	液压气动/高压管路:7；液压气动/液压接头:1	液压接头；高压油管	高压油管；高压油管接头	PIPE-000035 高压油管 规格：DN25*4；类型：高压油管；PIPE-000040 高压油管 规格：DN51；等级：4SH；PIPE-000041 高压油管 规格：DN32；等级：4SH；PIPE-000135 高压油管 公称直径：50；PIPE-000136 高压油管接头 公称直径：50；类型：接头；PIPE-000182 高压油管 公称直径：80；PIPE-000255 高压油管 规格：76*4；PIPE-000293 高压油管 定制：是；规格：19；压力：420公斤	有重复但族边界不够清晰，先不固化。
五坑	五坑	暂作为检索/属性候选	low	7	1	1	否	工具耗材/钻头:7	钻头	五坑钻头	TOOL-000064 五坑钻头 品牌：方大同；规格：40*1200；柄型：五坑；TOOL-000075 五坑钻头 品牌：方大同；规格：35*500；柄型：五坑；TOOL-000078 五坑钻头 规格：28*800；柄型：五坑；TOOL-000080 五坑钻头 品牌：方大同；规格：14*400；柄型：五坑；TOOL-000081 五坑钻头 品牌：方大同；规格：14*600；柄型：五坑；TOOL-000082 五坑钻头 品牌：方大同；规格：16*280；柄型：五坑；TOOL-000267 五坑钻头 品牌：博世；柄型：五坑；直径：Φ40；长度：1米	有重复但族边界不够清晰，先不固化。
五坑钻	五坑钻	暂作为检索/属性候选	low	7	1	1	否	工具耗材/钻头:7	钻头	五坑钻头	TOOL-000064 五坑钻头 品牌：方大同；规格：40*1200；柄型：五坑；TOOL-000075 五坑钻头 品牌：方大同；规格：35*500；柄型：五坑；TOOL-000078 五坑钻头 规格：28*800；柄型：五坑；TOOL-000080 五坑钻头 品牌：方大同；规格：14*400；柄型：五坑；TOOL-000081 五坑钻头 品牌：方大同；规格：14*600；柄型：五坑；TOOL-000082 五坑钻头 品牌：方大同；规格：16*280；柄型：五坑；TOOL-000267 五坑钻头 品牌：博世；柄型：五坑；直径：Φ40；长度：1米	有重复但族边界不够清晰，先不固化。
五坑钻头	五坑钻头	暂作为检索/属性候选	low	7	1	1	否	工具耗材/钻头:7	钻头	五坑钻头	TOOL-000064 五坑钻头 品牌：方大同；规格：40*1200；柄型：五坑；TOOL-000075 五坑钻头 品牌：方大同；规格：35*500；柄型：五坑；TOOL-000078 五坑钻头 规格：28*800；柄型：五坑；TOOL-000080 五坑钻头 品牌：方大同；规格：14*400；柄型：五坑；TOOL-000081 五坑钻头 品牌：方大同；规格：14*600；柄型：五坑；TOOL-000082 五坑钻头 品牌：方大同；规格：16*280；柄型：五坑；TOOL-000267 五坑钻头 品牌：博世；柄型：五坑；直径：Φ40；长度：1米	有重复但族边界不够清晰，先不固化。
伸缩	伸缩	暂作为检索/属性候选	low	7	6	6	是	安全消防/围挡护栏:2；工具量具/登高工具:2；工具耗材/刷具:2；工具量具/手动工具:1	伸缩加长杆；伸缩杆；伸缩梯；伸缩铝梯；滚筒伸缩杆；边角刷伸缩杆	伸缩加长杆；伸缩杆；伸缩梯；伸缩铝梯；滚筒伸缩杆；边角刷伸缩杆	TOOL-000060 伸缩加长杆 类型：伸缩加长杆；SAFE-000039 伸缩杆 颜色：红色；类型：伸缩杆；TOOL-000124 伸缩铝梯 长度：12米；材质：铝；特征：加厚伸缩；TOOL-000127 伸缩梯 定制：是；长度：8米；厚度：5.2mm；TOOL-000210 伸缩杆 长度：2米；结构：伸缩；TOOL-000334 滚筒伸缩杆 适配工具：滚筒；部件：伸缩杆；TOOL-000335 边角刷伸缩杆 适配工具：边角刷；部件：伸缩杆	有重复但族边界不够清晰，先不固化。
六角套	六角套	暂作为检索/属性候选	low	7	1	1	否	工具量具/手动工具:7	加长六角套筒	加长六角套筒	TOOL-000174 加长六角套筒 规格：5；特征：加长；类型：六角；TOOL-000175 加长六角套筒 规格：6；特征：加长；类型：六角；TOOL-000176 加长六角套筒 规格：7；特征：加长；类型：六角；TOOL-000177 加长六角套筒 规格：8；特征：加长；类型：六角；TOOL-000178 加长六角套筒 规格：10；特征：加长；类型：六角；TOOL-000179 加长六角套筒 规格：12；特征：加长；类型：六角；TOOL-000180 加长六角套筒 规格：14；特征：加长；类型：六角	有重复但族边界不够清晰，先不固化。
六角套筒	六角套筒	暂作为检索/属性候选	low	7	1	1	否	工具量具/手动工具:7	加长六角套筒	加长六角套筒	TOOL-000174 加长六角套筒 规格：5；特征：加长；类型：六角；TOOL-000175 加长六角套筒 规格：6；特征：加长；类型：六角；TOOL-000176 加长六角套筒 规格：7；特征：加长；类型：六角；TOOL-000177 加长六角套筒 规格：8；特征：加长；类型：六角；TOOL-000178 加长六角套筒 规格：10；特征：加长；类型：六角；TOOL-000179 加长六角套筒 规格：12；特征：加长；类型：六角；TOOL-000180 加长六角套筒 规格：14；特征：加长；类型：六角	有重复但族边界不够清晰，先不固化。
内丝直	内丝直	暂作为检索/属性候选	low	7	3	1	否	管材管件阀门/直接:7	直接/接头	内丝直接；内丝直通；镀锌内丝直接	PIPE-000209 内丝直通 规格：80；连接：内丝；类型：直通；PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000430 镀锌内丝直接 表面：镀锌；连接：内丝；规格：2寸；类型：直接；PIPE-000470 内丝直接 表面处理：镀锌；规格：4分；连接：内丝；类型：直接；PIPE-000484 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：2寸；PIPE-000486 镀锌内丝直接 表面处理：镀锌；连接：内丝；规格：6分	有重复但族边界不够清晰，先不固化。
内外	内外	暂作为检索/属性候选	low	7	6	5	是	定制加工件/管路接头:2；电气电料/电气辅材:2；管材管件阀门/阀门:2；液压气动/液压接头:1	不锈钢内外门电柜；不锈钢内外门电箱；定制管路接头；液压接头；阀门	不锈钢内外丝球阀；不锈钢内外门电柜；不锈钢内外门电箱；内外四方接头；液压内外牙弯头；高压内外牙弯头	PIPE-000060 内外四方接头 加工：是；类型：内外四方接头；PIPE-000216 液压内外牙弯头 螺纹/型号：M52*28H；连接：内外牙；类型：弯头；PIPE-000238 高压内外牙弯头 定制：是；规格：52；连接：内外牙；类型：弯头；METAL-000126 不锈钢内外门电柜 材质：不锈钢；结构：内外门；尺寸：1000*650*450；ELEC-000198 不锈钢内外门电箱 材质：不锈钢；结构：内外门；尺寸：350*250*200；METAL-000145 不锈钢内外丝球阀 材质：304不锈钢；规格：4分；连接：内外丝；METAL-000146 不锈钢内外丝球阀 材质：304不锈钢；规格：3分；连接：内外丝	有重复但族边界不够清晰，先不固化。
切割	切割	暂作为检索/属性候选	low	7	5	5	是	工具耗材/切割片:4；工具量具/手动工具:1；焊接切割/切割耗材:1；电动气动工具/工具附件:1	切割嘴；切割机防护罩；切割片；胶带切割器；马路切割片	切割嘴；切割机防护罩；切割片；胶带切割器；马路切割片	TOOL-000032 切割片 规格：100；TOOL-000045 切割片 品牌：金立克；TOOL-000083 马路切割片 规格：400；用途：马路切割；TOOL-000095 胶带切割器 适用：透明胶带；WELD-000019 切割嘴 规格：100型；TOOL-000206 切割机防护罩 适配设备：400切割机；部件：防护罩；WELD-000050 切割片 直径：Φ355	有重复但族边界不够清晰，先不固化。
压内	压内	暂作为检索/属性候选	low	7	4	2	是	定制加工件/管路接头:5；液压气动/液压接头:2	定制管路接头；液压接头	液压内外牙弯头；高压内丝接头；高压内外牙弯头；高压内接头	PIPE-000216 液压内外牙弯头 螺纹/型号：M52*28H；连接：内外牙；类型：弯头；PIPE-000234 高压内接头 定制：是；型号/规格：52H42；类型：内接高压；PIPE-000235 高压内接头 定制：是；型号/规格：36H28；类型：内接高压；PIPE-000236 高压内接头 定制：是；型号/规格：30H20；类型：内接高压；PIPE-000237 高压内接头 定制：是；型号/规格：26H20；类型：内接高压；PIPE-000238 高压内外牙弯头 定制：是；规格：52；连接：内外牙；类型：弯头；PIPE-000365 高压内丝接头 规格：36*2H；连接形式：内丝	有重复但族边界不够清晰，先不固化。
压对	压对	暂作为检索/属性候选	low	7	3	1	否	液压气动/液压接头:7	液压接头	液压对丝接头；高压对丝；高压对丝接头	PIPE-000307 高压对丝 规格：20；类型：对丝；PIPE-000352 高压对丝接头 螺纹：20*1.5；PIPE-000353 高压对丝接头 螺纹：24*1.5；PIPE-000354 高压对丝接头 螺纹：30*2；连接形式：对丝；PIPE-000355 高压对丝接头 螺纹：36*2；连接形式：对丝；PIPE-000356 高压对丝接头 螺纹：52*2；连接形式：对丝；PIPE-000377 液压对丝接头 螺纹：M20*1.5；类型：对丝	有重复但族边界不够清晰，先不固化。
压对丝	压对丝	暂作为检索/属性候选	low	7	3	1	否	液压气动/液压接头:7	液压接头	液压对丝接头；高压对丝；高压对丝接头	PIPE-000307 高压对丝 规格：20；类型：对丝；PIPE-000352 高压对丝接头 螺纹：20*1.5；PIPE-000353 高压对丝接头 螺纹：24*1.5；PIPE-000354 高压对丝接头 螺纹：30*2；连接形式：对丝；PIPE-000355 高压对丝接头 螺纹：36*2；连接形式：对丝；PIPE-000356 高压对丝接头 螺纹：52*2；连接形式：对丝；PIPE-000377 液压对丝接头 螺纹：M20*1.5；类型：对丝	有重复但族边界不够清晰，先不固化。
双面	双面	暂作为检索/属性候选	low	7	6	6	是	包装覆盖周转/胶带:4；化工胶粘涂料/胶粘剂:3	厚双面胶；双面胶；双面胶带；泡沫双面胶；泡沫棉双面胶；海绵双面胶	厚双面胶；双面胶；双面胶带；泡沫双面胶；泡沫棉双面胶；海绵双面胶	CHEM-000027 双面胶 类型：双面胶；CHEM-000039 海绵双面胶 基材：海绵；类型：双面胶；CHEM-000044 泡沫双面胶 基材：泡沫；类型：双面胶；CHEM-000046 厚双面胶 类型：双面胶；特征：厚；CHEM-000083 泡沫双面胶 基材：泡沫；特征：厚；CHEM-000130 双面胶带 品牌：3M；宽度：35mm；CHEM-000145 泡沫棉双面胶 品牌：3M；宽度：10mm；基材：泡沫棉	有重复但族边界不够清晰，先不固化。
坑钻	坑钻	暂作为检索/属性候选	low	7	1	1	否	工具耗材/钻头:7	钻头	五坑钻头	TOOL-000064 五坑钻头 品牌：方大同；规格：40*1200；柄型：五坑；TOOL-000075 五坑钻头 品牌：方大同；规格：35*500；柄型：五坑；TOOL-000078 五坑钻头 规格：28*800；柄型：五坑；TOOL-000080 五坑钻头 品牌：方大同；规格：14*400；柄型：五坑；TOOL-000081 五坑钻头 品牌：方大同；规格：14*600；柄型：五坑；TOOL-000082 五坑钻头 品牌：方大同；规格：16*280；柄型：五坑；TOOL-000267 五坑钻头 品牌：博世；柄型：五坑；直径：Φ40；长度：1米	有重复但族边界不够清晰，先不固化。
坑钻头	坑钻头	暂作为检索/属性候选	low	7	1	1	否	工具耗材/钻头:7	钻头	五坑钻头	TOOL-000064 五坑钻头 品牌：方大同；规格：40*1200；柄型：五坑；TOOL-000075 五坑钻头 品牌：方大同；规格：35*500；柄型：五坑；TOOL-000078 五坑钻头 规格：28*800；柄型：五坑；TOOL-000080 五坑钻头 品牌：方大同；规格：14*400；柄型：五坑；TOOL-000081 五坑钻头 品牌：方大同；规格：14*600；柄型：五坑；TOOL-000082 五坑钻头 品牌：方大同；规格：16*280；柄型：五坑；TOOL-000267 五坑钻头 品牌：博世；柄型：五坑；直径：Φ40；长度：1米	有重复但族边界不够清晰，先不固化。
塑料	塑料	暂作为检索/属性候选	low	7	5	5	是	清洁办公后勤/生活用品:4；焊接切割/焊割工具:1；包装覆盖周转/周转容器:1；清洁办公后勤/清洁工具:1	塑料凳；塑料扫把；塑料方凳；塑料焊枪；塑料箱	塑料凳；塑料扫把；塑料方凳；塑料焊枪；塑料箱	ADMIN-000009 塑料方凳 材质：塑料；规格：50CM；特征：加厚；WELD-000025 塑料焊枪 适用材料：塑料；MAT-000093 塑料方凳 材质：塑料；类型：方凳；MAT-000107 塑料箱 规格：大；型号/规格：75；MAT-000128 塑料凳 材质：塑料；特征：加厚；MAT-000245 塑料凳 材质：塑料；特征：加厚；ADMIN-000072 塑料扫把 材质：塑料	有重复但族边界不够清晰，先不固化。
外丝接	外丝接	暂作为检索/属性候选	low	7	4	3	是	定制加工件/管路接头:3；管材管件阀门/直接:2；液压气动/液压接头:2	定制管路接头；液压接头；直接/接头	外丝接头；液压高压外丝接头；镀锌外丝接头；高压外丝接头	PIPE-000140 镀锌外丝接头 规格：50*40；连接：外丝；表面：镀锌；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000180 外丝接头 定制：是；规格：1寸；连接：外丝；PIPE-000243 镀锌外丝接头 公称直径：DN80；连接：外丝；表面处理：镀锌；PIPE-000248 外丝接头 加工：是；规格：89；连接：外丝；PIPE-000249 外丝接头 加工：是；规格：60；连接：外丝；PIPE-000368 液压高压外丝接头 规格：1寸；连接形式：外丝；用途：液压高压	有重复但族边界不够清晰，先不固化。
外丝接头	外丝接头	暂作为检索/属性候选	low	7	4	3	是	定制加工件/管路接头:3；管材管件阀门/直接:2；液压气动/液压接头:2	定制管路接头；液压接头；直接/接头	外丝接头；液压高压外丝接头；镀锌外丝接头；高压外丝接头	PIPE-000140 镀锌外丝接头 规格：50*40；连接：外丝；表面：镀锌；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000180 外丝接头 定制：是；规格：1寸；连接：外丝；PIPE-000243 镀锌外丝接头 公称直径：DN80；连接：外丝；表面处理：镀锌；PIPE-000248 外丝接头 加工：是；规格：89；连接：外丝；PIPE-000249 外丝接头 加工：是；规格：60；连接：外丝；PIPE-000368 液压高压外丝接头 规格：1寸；连接形式：外丝；用途：液压高压	有重复但族边界不够清晰，先不固化。
